Index,Name,Affiliation,Country
0,"Miguel Ángel Vázquez","Centre Tecnològic de Telecomunicacions de Catalunya, Spain",Spain
0,"Mérouane Debbah","Khalifa University, Abu Dhabi, United Arab Emirates",United Arab Emirates
2,"Mong-Li Lee","National University of Singapore (NUS)",Singapore
6,"Wynne Hsu","National University of Singapore (NUS)",Singapore
8,"Daniel S. W. Ting","Duke-National University of Singapore (NUS) Medical School, Singapore",Singapore
12,"Quang Duc Nguyen 0001","Singapore Eye Research Institute, Singapore",Singapore
14,"Huiru Zheng","Ulster University, UK",United Kingdom
14,"Jun Liu 0001","University of Ulster, Jordanstown, UK",United Kingdom
16,"Haiying Wang 0001","Ulster University, School of Computing, UK",United Kingdom
20,"Shuenn-Yuh Lee","National Cheng Kung University, Department of Electrical Engineering, Tainan, Taiwan",Taiwan
20,"Peng-Wei Huang","National Cheng Kung University, Tainan City, Taiwan",Taiwan
22,"Dario Amaya","Nueva Granada Military University, Faculty of Engineering, Bogotá, Colombia",Colombia
22,"Camilo Cáceres","University of Campinas, School of Mechanical Engineering, Brazil",Brazil
24,"Ayan Banerjee 0001","Arizona State University, Tempe, AZ, USA",United States
24,"Sandeep K. S. Gupta","Arizona State University, Tempe, Institute of Sustainability",United States
26,"Piotr Mirowski","DeepMind, London, UK",United Kingdom
26,"Kory W. Mathewson","DeepMind, London, UK",United Kingdom
28,"Sanjit A. Seshia","University of California, Berkeley, USA",United States
28,"Daniel J. Fremont","University of California, Santa Cruz, CA, USA",United States
30,"Battista Biggio","University of Cagliari, Italy",Italy
30,"Sadia Afroz 0001","University of California Berkeley, ICSI, USA",United States
32,"Yuval Elovici","Telekom Innovation Laboratories at Ben-Gurion University of the Negev, Beer-Sheva, Israel",Israel
36,"Vinícius Lima 0001","University of São Paulo, Medical School, Brazil",Brazil
36,"Filipe Andrade Bernardi","University of São Paulo, Medical School, SP, Brazil",Brazil
38,"Rui Rijo","Polytechnic Institute of Leiria, ESTG, Leiria, Portugal",Portugal
42,"Lingyu Zhang 0001","Didi Chuxing AI Labs, Beijing, China",China
42,"Weinan Zhang 0001","Shanghai Jiao Tong University, John Hopcroft Center for Computer Science, China",China
44,"Yang Zhang 0031","University of Illinois Urbana-Champaign, School of Information Sciences, IL, USA",United States
44,"Daniel Yue Zhang","University of Notre Dame, IN, USA",United States
46,"Dong Wang 0002","University of Illinois at Urbana-Champaign, Urbana, IL, USA",United States
50,"Louis-Philippe Morency","Carnegie Mellon University",United States
50,"Amir Zadeh 0001","Carnegie Mellon University, Language Technologies Institute, Pittsburgh, PA, USA",United States
52,"Terry Heath","IBM T.J. Watson Research Center, Yorktown Heights, USA",United States
52,"Kanthi K. Sarpatwar","IBM Thomas J. Watson Research Center, Yorktown Heights, NY, USA",United States
54,"Venkata Sitaramagiridharganesh Ganapavarapu","IBM Research",United States
58,"Arnab Bhattacharya 0001","Indian Institute of Technology (IIT), Kanpur",India
60,"Saptarshi Ghosh 0001","Indian Institute of Technology Kharagpur, India",India
60,"Parth Mehta 0001","Parmonic, USA",United States
64,"Arindam Pal 0001","University of New South Wales, Sydney, NSW, Australia",Australia
70,"Andrea Orlandini","National Research Council of Italy, Institute of Cognitive Sciences and Technologies, Rome, Italy",Italy
70,"Alessandro Umbrico","Roma Tre University, Rome, Italy",Italy
72,"Gabriella Cortellessa","National Research Council, Italy",Italy
74,"Amedeo Cesta","National Research Council, Italy",Italy
82,"Carson K. Leung","University of Manitoba, Winnipeg, Canada",Canada
82,"Giorgio Mario Grasso","Università degli Studi di Messina, Italy",Italy
84,"Alfredo Cuzzocrea","University of Calabria, IDEA Lab, Cosenza, Italy",Italy
88,"Robert A. Malaney","University of New South Wales, Sydney, NSW, Australia",Australia
88,"Ullah Ihsan 0001","University of New South Wales, Sydney, NSW, Australia",Australia
90,"Jianhua Li 0001","Shanghai Jiao Tong University, Shanghai Key Laboratory of Integrated Administration Technologies for Information Security, China",China
92,"Joel J. P. C. Rodrigues","Federal University of Piauí (UFPI), Teresina - Pi, Brazil",Brazil
92,"Jun Wu 0001","Shanghai Jiao Tong University, Shanghai Key Laboratory of Integrated Administration Technologies for Information Security, China",China
96,"Johannes Schemmel","University of Heidelberg, Germany",Germany
98,"Mihai A. Petrovici","Heidelberg University, Kirchhoff Institute for Physics, Germany",Germany
100,"Eric Müller 0001","Heidelberg University, Germany",Germany
102,"Aderemi Aaron-Anthony Atayero","Covenant University, Department of Electrical Engineering and Information Engineering, Canaanland, Nigeria",Nigeria
102,"Sanjay Misra","Covenant University, Ota, Nigeria",Nigeria
104,"Hua Fang 0001","University of Massachusetts Dartmouth, Department of Computer and Information Science, Dartmouth, MA, USA",United States
104,"Honggang Wang 0001","University of Massachusetts Dartmouth, MA, USA",United States
106,"Yu Liu 0035","Dalian University of Technology, School of Software Technology, Key Laboratory for Ubiquitous Network and Service Software of Liaoning Province, Dalian, China",China
108,"Shimin Shan","Dalian University of Technology, Liaoning, China",China
110,"Kai Wang 0057","Dalian University of Technology, China",China
112,"Jaehong Kim 0001","Electronics and Telecommunications Research Institute, Daejeon, South Korea",South Korea
112,"Yejin Lee 0003","Korea University of Science and Technology, Daejeon, Korea",South Korea
114,"Tung Lam Pham","Kookmin University, Seongbuk-gu, South Korea",South Korea
114,"Minh Duc Thieu","Kookmin University, Seongbuk-gu, South Korea",South Korea
116,"Constantinos Sourkounis","Ruhr University Bochum, Germany",Germany
116,"Johnny Chhor","Ruhr University Bochum, Germany",Germany
118,"Haoran Xie 0001","Lingnan University, Department of Computing and Decision Sciences, Hong Kong",Hong Kong
118,"Jun Yan 0010","Yidu Cloud Technology Co. Ltd., Beijing, China",China
120,"Alexander E. Gegov","University of Portsmouth, School of Computing",United Kingdom
120,"David A. Sanders","University of Portsmouth, School of Engineering",United Kingdom
122,"Mohamed Hassan 0001","University of Portsmouth, School of Energy and Electronic Engineering, UK",United Kingdom
126,"Gerhard P. Hancke 0001","Nanjing University of Posts and Telecommunications, School of Automation, Nanjing, China",China
128,"Adnan M. Abu-Mahfouz","University of Pretoria, South Africa",South Africa
