author,name,aff
https://dblp.org/pid/00/100,Kenji Doya,"Okinawa Institute of Science and Technology, Neural Computation Unit, Japan"
https://dblp.org/pid/00/1664-2,Mark Campbell 0002,"EVOTEK, San Diego, CA, USA"
https://dblp.org/pid/00/202,David R. Bull,"University of Bristol, UK"
https://dblp.org/pid/00/2406-1,Jang-Hyun Kim 0001,"Sungkyunkwan University, Republic of Korea"
https://dblp.org/pid/00/3669,David A. Lagnado,"University College London, UK"
https://dblp.org/pid/00/4014-2,Riccardo Rosati 0002,"Università Politecnica delle Marche, Ancona, Italy"
https://dblp.org/pid/00/440-1,Yong Ren 0001,"Tsinghua University, Department of Electronic Engineering, Beijing, China"
https://dblp.org/pid/00/5170-1,Yong Fan 0001,"University of Pennsylvania, Perelman School of Medicine, Department of Radiology, Philadelphia, PA, USA"
https://dblp.org/pid/00/605,Panagiotis G. Sarigiannidis,"University of Western Macedonia, Kozani, Greece"
https://dblp.org/pid/00/7626-1,Sarika Jain 0001,"National Institute of Technology Kurukshetra, India"
https://dblp.org/pid/01/1046,José R. Villar 0001,"University of Oviedo, Spain"
https://dblp.org/pid/01/2086-13,Lu Lu 0013,"Nanyang Technological University, School of Electrical and Electronic Engineering, Singapore"
https://dblp.org/pid/01/2280,Ganesh K. Venayagamoorthy,Clemson University
https://dblp.org/pid/01/4475,Bamshad Mobasher,"DePaul University, Chicago, IL, USA"
https://dblp.org/pid/01/4601-9,Sangwon Lee 0009,"Sungkyunkwan University, Department of Interaction Science, Seoul, Korea"
https://dblp.org/pid/01/753,Chau Yuen,"Singapore University of Technology and Design, Singapore"
https://dblp.org/pid/01/8000,Siva Rama Krishnan Somayaji,"Vellore Institute of Technology, Vellore, India"
https://dblp.org/pid/01/8326,Lianyong Qi,"China University of Petroleum (East China), College of Computer Science and Technology, China"
https://dblp.org/pid/01/9555,Annappa Basava,"National Institute of Technology Karnataka, Surathkal, India"
https://dblp.org/pid/02/10851,Carlos Enrique Montenegro Marín,"Francisco José de Caldas District University, Bogotá, Colombia"
https://dblp.org/pid/02/3721-5,Jun Han 0005,"Capital Normal University, College of Education, Beijing, China"
https://dblp.org/pid/02/4248-14,Michael Weber 0014,"Technical University of Munich, Department of Informatics, Garching, Germany"
https://dblp.org/pid/02/7740,Pedro Santos 0001,"University of Lisbon, INESC-ID / Instituto Superior Técnico, Portugal"
https://dblp.org/pid/02/8045,Rommel M. Barbosa,"Federal University of Goiás, Goiânia, Brazil"
https://dblp.org/pid/02/979,Flávio Oliveira Silva 0001,"Federal University of Uberlândia, Brazil"
