doi,author1,name1,aff1,author2,name2,aff2
http://dx.doi.org/10.1007/978-3-030-54173-6_3,https://dblp.org/pid/c/ABCremers,Armin B. Cremers,"University of Bonn, Germany",https://dblp.org/pid/35/1335-1,Jörg Zimmermann 0001,"University of Bonn, Germany"
https://doi.org/10.1007/978-3-030-54173-6_3,https://dblp.org/pid/c/ABCremers,Armin B. Cremers,"University of Bonn, Germany",https://dblp.org/pid/35/1335-1,Jörg Zimmermann 0001,"University of Bonn, Germany"
http://dx.doi.org/10.1007/978-3-030-84655-8_2,https://dblp.org/pid/j/JanaKoehler,Jana Koehler,"German Research Center for Artificial Intelligence (DFKI), Saarbrücken, Germany",https://dblp.org/pid/172/6953,Benjamin van Giffen,"University of St. Gallen, Switzerland"
https://doi.org/10.1007/978-3-030-84655-8_2,https://dblp.org/pid/j/JanaKoehler,Jana Koehler,"German Research Center for Artificial Intelligence (DFKI), Saarbrücken, Germany",https://dblp.org/pid/172/6953,Benjamin van Giffen,"University of St. Gallen, Switzerland"
http://dx.doi.org/10.1007/978-3-030-84655-8_2,https://dblp.org/pid/j/JanaKoehler,Jana Koehler,"German Research Center for Artificial Intelligence (DFKI), Saarbrücken, Germany",https://dblp.org/pid/05/4977,Walter Brenner,"University of St. Gallen, Switzerland"
https://doi.org/10.1007/978-3-030-84655-8_2,https://dblp.org/pid/j/JanaKoehler,Jana Koehler,"German Research Center for Artificial Intelligence (DFKI), Saarbrücken, Germany",https://dblp.org/pid/05/4977,Walter Brenner,"University of St. Gallen, Switzerland"
http://dx.doi.org/10.1007/978-3-030-84655-8_2,https://dblp.org/pid/172/6953,Benjamin van Giffen,"University of St. Gallen, Switzerland",https://dblp.org/pid/05/4977,Walter Brenner,"University of St. Gallen, Switzerland"
https://doi.org/10.1007/978-3-030-84655-8_2,https://dblp.org/pid/172/6953,Benjamin van Giffen,"University of St. Gallen, Switzerland",https://dblp.org/pid/05/4977,Walter Brenner,"University of St. Gallen, Switzerland"
http://dx.doi.org/10.1007/978-3-030-63307-3_10,https://dblp.org/pid/h/AboulEllaHassanien,Aboul Ella Hassanien,"Cairo University, Giza, Egypt",https://dblp.org/pid/42/8982,Ashraf Darwish,"Helwan University, Faculty of Science, Scientific Research Group in Egypt, Cairo, Egypt"
https://doi.org/10.1007/978-3-030-63307-3_10,https://dblp.org/pid/h/AboulEllaHassanien,Aboul Ella Hassanien,"Cairo University, Giza, Egypt",https://dblp.org/pid/42/8982,Ashraf Darwish,"Helwan University, Faculty of Science, Scientific Research Group in Egypt, Cairo, Egypt"
http://dx.doi.org/10.1007/978-3-030-63307-3_10,https://dblp.org/pid/42/8982,Ashraf Darwish,"Helwan University, Faculty of Science, Scientific Research Group in Egypt, Cairo, Egypt",https://dblp.org/pid/119/6934,Sally M. El-Ghamrawy,"MISR Higher Institute for Engineering and Technology, Mansoura, Egypt"
https://doi.org/10.1007/978-3-030-63307-3_10,https://dblp.org/pid/42/8982,Ashraf Darwish,"Helwan University, Faculty of Science, Scientific Research Group in Egypt, Cairo, Egypt",https://dblp.org/pid/119/6934,Sally M. El-Ghamrawy,"MISR Higher Institute for Engineering and Technology, Mansoura, Egypt"
http://dx.doi.org/10.1007/978-3-030-63307-3_10,https://dblp.org/pid/h/AboulEllaHassanien,Aboul Ella Hassanien,"Cairo University, Giza, Egypt",https://dblp.org/pid/119/6934,Sally M. El-Ghamrawy,"MISR Higher Institute for Engineering and Technology, Mansoura, Egypt"
https://doi.org/10.1007/978-3-030-63307-3_10,https://dblp.org/pid/h/AboulEllaHassanien,Aboul Ella Hassanien,"Cairo University, Giza, Egypt",https://dblp.org/pid/119/6934,Sally M. El-Ghamrawy,"MISR Higher Institute for Engineering and Technology, Mansoura, Egypt"
http://dx.doi.org/10.1007/978-3-030-63307-3_5,https://dblp.org/pid/h/AboulEllaHassanien,Aboul Ella Hassanien,"Cairo University, Giza, Egypt",https://dblp.org/pid/42/8982,Ashraf Darwish,"Helwan University, Faculty of Science, Scientific Research Group in Egypt, Cairo, Egypt"
https://doi.org/10.1007/978-3-030-63307-3_5,https://dblp.org/pid/h/AboulEllaHassanien,Aboul Ella Hassanien,"Cairo University, Giza, Egypt",https://dblp.org/pid/42/8982,Ashraf Darwish,"Helwan University, Faculty of Science, Scientific Research Group in Egypt, Cairo, Egypt"
